country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name
"AUS",1,"AUS","Australia","Australia"
"CXR",1,"AUS","Australia","Christmas Island"
"CCK",1,"AUS","Australia","Cocos (Keeling) Islands"
"HMD",1,"AUS","Australia","Heard Island and McDonald Islands"
"NFK",1,"AUS","Australia","Norfolk Island"
"NZL",2,"NZL","New Zealand","New Zealand"
"ASM",3,"XOC","Rest of Oceania","American Samoa"
"COK",3,"XOC","Rest of Oceania","Cook Islands"
"FJI",3,"XOC","Rest of Oceania","Fiji"
"PYF",3,"XOC","Rest of Oceania","French Polynesia"
"GUM",3,"XOC","Rest of Oceania","Guam"
"KIR",3,"XOC","Rest of Oceania","Kiribati"
"MHL",3,"XOC","Rest of Oceania","Marshall Islands"
"FSM",3,"XOC","Rest of Oceania","Micronesia (Federated States of)"
"NRU",3,"XOC","Rest of Oceania","Nauru"
"NCL",3,"XOC","Rest of Oceania","New Caledonia"
"NIU",3,"XOC","Rest of Oceania","Niue"
"MNP",3,"XOC","Rest of Oceania","Northern Mariana Islands"
"PLW",3,"XOC","Rest of Oceania","Palau"
"PNG",3,"XOC","Rest of Oceania","Papua New Guinea"
"PCN",3,"XOC","Rest of Oceania","Pitcairn"
"WSM",3,"XOC","Rest of Oceania","Samoa"
"SLB",3,"XOC","Rest of Oceania","Solomon Islands"
"TKL",3,"XOC","Rest of Oceania","Tokelau"
"TON",3,"XOC","Rest of Oceania","Tonga"
"TUV",3,"XOC","Rest of Oceania","Tuvalu"
"UMI",3,"XOC","Rest of Oceania","United States Minor Outlying Islands"
"VUT",3,"XOC","Rest of Oceania","Vanuatu"
"WLF",3,"XOC","Rest of Oceania","Wallis and Futuna Islands"
"CHN",4,"CHN","China","China"
"HKG",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China"
"JPN",6,"JPN","Japan","Japan"
"KOR",7,"KOR","Korea, Republic of","Korea, Republic of"
"MNG",8,"MNG","Mongolia","Mongolia"
"TWN",9,"TWN","Taiwan","Taiwan"
"MAC",10,"XEA","Rest of East Asia","China, Macao Special Administrative Region"
"PRK",10,"XEA","Rest of East Asia","Democratic People's Republic of Korea"
"BRN",11,"BRN","Brunei Darussalam","Brunei Darussalam"
"KHM",12,"KHM","Cambodia","Cambodia"
"IDN",13,"IDN","Indonesia","Indonesia"
"LAO",14,"LAO","Lao PDR","Lao PDR"
"MYS",15,"MYS","Malaysia","Malaysia"
"PHL",16,"PHL","Philippines","Philippines"
"SGP",17,"SGP","Singapore","Singapore"
